tconst,nconst,category
tt0054195,nm0943837,actress
tt0054195,nm0001539,actress
tt0054195,nm0250724,actor
tt0054195,nm0001500,actor
tt0054195,nm0647970,actress
tt0054195,nm0579663,actor
tt0054195,nm0187981,actor
tt0054195,nm0001547,actress
tt0054195,nm0002019,actor
tt0054195,nm0238628,actor
tt0054195,nm0842582,director
tt0054197,nm0001805,actress
tt0054197,nm0000063,actor
tt0054197,nm0000865,actor
tt0054197,nm0000364,actress
tt0054197,nm0768334,actor
tt0054197,nm0001827,actor
tt0054197,nm0340706,actress
tt0054197,nm0938923,actress
tt0054197,nm0463258,actor
tt0054197,nm0634313,actor
tt0054197,nm0330456,director
tt0054209,nm0544347,actress
tt0054209,nm0001904,actor
tt0054209,nm0643105,actor
tt0054209,nm0184578,actor
tt0054209,nm0912286,actor
tt0054209,nm0537955,actor
tt0054209,nm0828562,director
tt0054215,nm0000578,actor
tt0054215,nm0001463,actress
tt0054215,nm0587256,actress
tt0054215,nm0001260,actor
tt0054215,nm0000842,actor
tt0054215,nm0570615,actor
tt0054215,nm0643000,actor
tt0054215,nm0007214,actor
tt0054215,nm0386877,actress
tt0054215,nm0853299,actor
tt0054215,nm0000033,director
tt0054230,nm0000348,actor
tt0054230,nm0001666,actress
tt0054230,nm0642988,actor
tt0054230,nm0575552,actress
tt0054230,nm0725543,actor
tt0054230,nm0071913,actress
tt0054230,nm0206141,actor
tt0054230,nm0001205,actor
tt0054230,nm0236960,actress
tt0054230,nm0124270,actor
tt0054230,nm0612322,director
tt0054243,nm0200645,actor
tt0054243,nm0824606,actress
tt0054243,nm0829359,actress
tt0054243,nm0924964,actor
tt0054243,nm0643000,actor
tt0054243,nm0523225,actor
tt0054243,nm0695489,actor
tt0054243,nm0643105,actor
tt0054243,nm0215308,actor
tt0054243,nm0428160,actor
tt0054243,nm0091430,director
tt0054292,nm0001374,actor
tt0054292,nm0834754,actor
tt0054292,nm0869927,actress
tt0054292,nm0000992,actress
tt0054292,nm0379621,actor
tt0054292,nm0099071,actor
tt0054292,nm0949355,actor
tt0054292,nm0695489,actor
tt0054292,nm0011268,actor
tt0054292,nm0037642,actor
tt0054292,nm0000406,director
tt0054295,nm0000064,actor
tt0054295,nm0001768,actor
tt0054295,nm0001058,actress
tt0054295,nm0908919,actor
tt0054295,nm0780038,actor
tt0054295,nm0200599,actor
tt0054295,nm0471854,actor
tt0054295,nm0001982,actor
