nconst,primaryName,primaryProfession,knownForTitles,popularity,known_for_department,profile_path
nm0000470,Jeffrey Jones,"actor,miscellaneous,soundtrack","tt0086879,tt0091225,tt0091042,tt0109707",9.034,Acting,https://image.tmdb.org/t/p/original/zLodpqWUb9OzQLpK1ZY9im1Lh0p.jpg
nm0443016,Charles Kay,"actor,archive_footage","tt0086879,tt0097499,tt0207885,tt0278500",3.792,Acting,https://image.tmdb.org/t/p/original/itrjpPBP313mCdyk86YPLmBMPqZ.jpg
nm0569001,Graem McGavin,"actress,producer","tt0086896,tt0085980,tt1067062,tt0088385",0.363,Acting,
nm0012964,Béatrice Agenin,"actress,archive_footage,archive_sound","tt0258413,tt0169504,tt0280305,tt0122626",2.042,Acting,https://image.tmdb.org/t/p/original/6i1SswPdFRLkEFMKRLkCD7QJa87.jpg
nm0073564,Barbara Nielsen,actress,"tt0069695,tt0100558,tt0090193,tt0069545",1.287,Acting,https://image.tmdb.org/t/p/original/kaX7cncaLuKuPWSjHR9jbygiHJT.jpg
nm0889005,Pierre Vaneck,"actor,miscellaneous,archive_footage","tt0354899,tt0114057,tt0996930,tt0050237",2.316,Acting,https://image.tmdb.org/t/p/original/sX7AO0tJAnscSD7wEzq98uLM539.jpg
nm0000478,Tawny Kitaen,"actress,producer,archive_footage","tt0086927,tt0087903,tt0090327,tt2797190",5.562,Acting,https://image.tmdb.org/t/p/original/5Rlwjmp4FeWKUyTh8IbTx0owhMr.jpg
nm0343643,Gary Grossman,"actor,producer","tt0086927,tt30259910,tt0116861,tt0098780",3.889,Acting,https://image.tmdb.org/t/p/original/jNzeQ5RHuYHfS7bSax55YQ20Amg.jpg
nm0411477,Neal Israel,"director,writer,producer","tt0086927,tt0089886,tt0100050,tt0087928",4.177,Directing,https://image.tmdb.org/t/p/original/ta6GivAxCQotJz2eMpmD0zhVy40.jpg
nm0001044,Rae Dawn Chong,"actress,producer,director","tt0088944,tt0088939,tt0082484,tt0100740",16.564,Acting,https://image.tmdb.org/t/p/original/aj9fFFKH3QZX2FSJsj81I4y12M7.jpg
nm0204674,Guy Davis,"actor,composer,writer","tt0277705,tt0086946,tt0119598,tt0176357",0.498,Acting,
nm0152813,Jon Chardiet,"actor,producer","tt0086946,tt0119695,tt0208050,tt1789037",1.491,Acting,https://image.tmdb.org/t/p/original/asJgnfgc7KV3T4vcTpQoIwJJJAH.jpg
nm0763639,Saundra Santiago,"actress,soundtrack","tt0086759,tt0044265,tt15497092,tt0098844",8.262,Acting,https://image.tmdb.org/t/p/original/mIzuavbFWhwyT5yysJlwgzgXc0v.jpg
nm0097348,Jim Borrelli,actor,"tt0086759,tt0069599,tt0088405,tt0072559",0.714,Acting,
nm0490133,Stan Lathan,"director,producer,writer","tt2608368,tt2354049,tt10810424,tt0171219",5.152,Directing,https://image.tmdb.org/t/p/original/zRS52BzHBNjDfiTvZYotV1tTzvB.jpg
nm0039226,John Ashton,"actor,soundtrack,archive_footage","tt3083016,tt5285532,tt0095631,tt0094006",12.558,Acting,https://image.tmdb.org/t/p/original/8TzYptb6pPxZJXfrJIu0UoZTNkX.jpg
nm0751638,James Russo,"actor,writer,director","tt4859240,tt1853728,tt0316356,tt0142688",6.389,Acting,https://image.tmdb.org/t/p/original/nubhNb5OUkzsrndD1BNqzp7MGyo.jpg
nm0384280,Gilbert R. Hill,"actor,archive_footage","tt0086960,tt0092644,tt0109254",3.249,Acting,https://image.tmdb.org/t/p/original/3vERTxcH9gy2TBRPAHJDyOGPBRq.jpg
nm0949744,Karen Young,"actress,director,writer","tt0093300,tt0116040,tt0096289,tt0091635",4.627,Acting,https://image.tmdb.org/t/p/original/yriHai0AZfT39CYO4v0rFxEX3rY.jpg
nm0752763,Pat Ryan,"actor,archive_footage","tt0090190,tt0093493,tt0086969,tt0094057",1.595,Acting,
nm0001400,Michelle Johnson,"actress,archive_footage","tt0086973,tt0104070,tt0104231,tt0096426",8.554,Acting,https://image.tmdb.org/t/p/original/hTMK57vFhYJuKQVn5SKovtNlsBb.jpg
nm0506784,José Lewgoy,"actor,archive_footage","tt0083946,tt0181590,tt0107809,tt0086973",3.164,Acting,https://image.tmdb.org/t/p/original/zWVwRiqn1oPeRPwn6mr5NY2QJx5.jpg
nm0317644,Lupe Gigliotti,actress,"tt0209610,tt0086973,tt0294196,tt0138217",1.133,Acting,https://image.tmdb.org/t/p/original/tMwMhYlQ7kSkqR9jEsHwS7oCWrR.jpg
nm0130117,Tessy Callado,"actress,writer","tt0086973,tt0289033,tt4773278,tt0145432",1.113,Acting,
nm0315288,John Getz,"actor,soundtrack","tt1285016,tt0091064,tt0086979,tt0443706",22.865,Acting,https://image.tmdb.org/t/p/original/NL52y1nH5SZMlJKfKpPBnofoJk.jpg
nm0000531,Frances McDormand,"actress,producer,soundtrack","tt5027774,tt0116282,tt1748122,tt0181875",13.344,Acting,https://image.tmdb.org/t/p/original/r0A7hZsM1zuavTr0jN7bwmBcliR.jpg
nm0931638,Samm-Art Williams,"producer,writer,actor","tt0086979,tt0092354,tt0080661,tt0176357",2.117,Acting,https://image.tmdb.org/t/p/original/3lQKRozD3rzYuZV4XlY1ZugZzSD.jpg
nm0001054,Joel Coen,"producer,writer,director","tt6412452,tt10095582,tt2042568,tt0116282",8.896,Directing,https://image.tmdb.org/t/p/original/rgVaJNkZCgMarUcZuUAsVfXMWk3.jpg
nm0263547,Kenny Everett,"writer,actor,music_department","tt0086981,tt1727824,tt0059085,tt0296444",2.638,Acting,https://image.tmdb.org/t/p/original/eWPle9BWx0iljiViQ0CRdx9g6ww.jpg
